positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,92786,13464,13786,2680,122716,0.7779425665764855,0.16275962589578524,0.166005946481665,0.1643667586629868
1,44490,29866,27266,21094,122716,0.5344372371980833,0.4361869313482217,0.4139324960753532,0.42476842529198555
2,65812,1740,50972,4192,122716,0.5704553603442094,0.07599158871727939,0.7066756574511126,0.13722665968312164
3,71445,48545,1591,1135,122716,0.591446918087291,0.41636096845194426,0.02284621578099839,0.04331565087967027
